"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"▓╦╞╖├√│╞",4,"╛═▓═└р╨═",NA
"3",13,"┐зрм╝ж┐щ╖╣",2,"╬ч▓═","2015-08-13"
"4",14,"┤є╣√┴г",2,"╬ч▓═","2015-06-27"
"5",15,"┤є├╫(╨б)",2,"╬ч▓═","2015-06-26"
"6",16,"┤є├╫(╨б)",2,"╬ч▓═","2015-06-09"
"7",17,"╙ё├╫┴г(╠╫)",2,"╬ч▓═","2015-06-09"
"8",18,"╦с└▒╤╝╤к(╠╫)",2,"╬ч▓═","2015-06-09"
"9",19,"┐зрм╝ж┐щ╖╣",2,"╬ч▓═","2015-06-03"
"10",20,"║ь╔╒┼г╚т├ц",2,"╬ч▓═","2015-05-28"
"11",21,"║┌├╫╓р",2,"╬ч▓═","2015-05-27"
"12",22,"╖м╟╤┼г╚т╖╣",2,"╬ч▓═","2015-05-25"
"13",23,"┤є├╫(╨б)",2,"╬ч▓═","2015-05-22"
"14",24,"║ь╔╒═┴╢╣╞м(╠╫)",2,"╬ч▓═","2015-05-22"
"15",25,"║┌╜╖╓э┼┼╖╣",2,"╬ч▓═","2015-05-18"
"16",26,"250╣┌╥ц╚щ",2,"╬ч▓═","2015-05-15"
"17",27,"╝ж╢б│┤├╫",2,"╬ч▓═","2015-05-14"
"18",28,"║ь╘ц╦с╚щ",3,"╬ч▓═","2015-05-13"
"19",29,"┐зрм╝ж┐щ╖╣",2,"╬ч▓═","2015-05-11"
"20",30,"╖м╟╤┼г╚т╖╣",2,"╬ч▓═","2015-05-08"
"21",31,"╖м╟╤┼г╚т╖╣",2,"╬ч▓═","2015-05-07"
"22",32,"╚╚╕╔├ц",2,"╬ч▓═","2015-05-06"
"23",33,"┬╠╢╣╨б├╫╓р",2,"═э▓═","2015-05-04"
"24",34,"╟х╠└┼г╚т├ц",2,"╬ч▓═","2015-05-04"
"25",35,"┐зрм╝ж┐щ╖╣",2,"╬ч▓═","2015-04-29"
"26",36,"╡░╠в",2,"╬ч▓═","2015-04-28"
"27",37,"┤є├╫",2,"╬ч▓═","2015-04-27"
"28",38,"╬ў║ь╩┴│┤╝ж╡░(╠╫)",2,"╬ч▓═","2015-04-27"
"29",39,"╩╓╦║░№▓╦(╠╫)",2,"╬ч▓═","2015-04-27"
"30",40,"┬╠╢╣╨б├╫╓р",2,"═э▓═","2015-04-24"
"31",41,"─╧╣╧▒¤",2,"═э▓═","2015-04-24"
"32",42,"║ь╘ц╦с╚щ",2,"╬ч▓═","2015-04-24"
"33",43,"╚ты¤╫╙├ц",2,"╬ч▓═","2015-04-24"
"34",44,"╗╞ь╦╝ж├╫╖╣",2,"╬ч▓═","2015-04-21"
"35",45,"║┌╜╖╓э┼┼╖╣",2,"╬ч▓═","2015-04-17"
"36",46,"╙┼╥цC",2,"╬ч▓═","2015-04-16"
"37",47,"╗Ё═╚╛э",2,"═э▓═","2015-04-13"
"38",48,"║ь╔╒┼г╚т├ц",2,"╬ч▓═","2015-04-10"
"39",49,"╚╚╕╔├ц",2,"╬ч▓═","2015-04-08"
"40",50,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-04-03"
"41",51,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-03-30"
"42",52,"║ь╔╒╚т├ц",2,"╬ч▓═","2015-03-26"
"43",53,"╝ж╡░╣р▒¤",2,"═э▓═","2015-03-25"
"44",54,"╞д╡░╩▌╚т╓р",2,"═э▓═","2015-03-25"
"45",55,"┬╠╢╣╨б├╫╓р",2,"═э▓═","2015-03-25"
"46",56,"─╧╣╧╨б├╫╓р",2,"═э▓═","2015-03-25"
"47",57,"─╧╣╧╨б├╫╓р",2,"═э▓═","2015-03-25"
"48",58,"╚т╜┤├ц",2,"╬ч▓═","2015-03-19"
"49",59,"╚т╜┤├ц",2,"╬ч▓═","2015-03-18"
"50",60,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-03-13"
"51",61,"т∙▒ж",2,"╬ч▓═","2015-03-11"
"52",62,"║ь╔╒┼г╚т├ц",2,"╬ч▓═","2015-03-10"
"53",63,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-02-04"
"54",64,"┼г╚т╗т▒¤",2,"╬ч▓═","2015-02-03"
"55",65,"║ь╔╒┼г╚т├ц",2,"╬ч▓═","2015-01-29"
"56",66,"250╣┌╥ц╚щ",2,"═э▓═","2015-01-28"
"57",67,"╗╞ь╦╝ж├ц",2,"═э▓═","2015-01-28"
"58",68,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-01-27"
"59",69,"╗╞ь╦╝ж├ц",2,"╬ч▓═","2015-01-26"
"60",70,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-01-21"
"61",71,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-01-16"
"62",72,"╒и╜┤├ц",2,"╬ч▓═","2015-01-15"
"63",73,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-01-13"
"64",74,"║║▒д",3,"═э▓═","2015-01-09"
"65",75,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2015-01-09"
"66",76,"║║▒д",2,"═э▓═","2015-01-07"
"67",77,"╙┼╥цC",2,"╬ч▓═","2015-01-07"
"68",78,"┼г╚т╗т▒¤",2,"═э▓═","2015-01-05"
"69",79,"╚т╧у╚╚╕╔├ц",2,"╬ч▓═","2015-01-05"
"70",80,"┤є├╫(╨б)",2,"╬ч▓═","2014-12-31"
"71",81,"╕╔╣°═┴╢╣╞м(╠╫)",2,"╬ч▓═","2014-12-31"
"72",82,"╝т╜╖╚т╦┐(╠╫)",2,"╬ч▓═","2014-12-31"
"73",83,"║║▒д",2,"═э▓═","2014-12-30"
"74",84,"╜Ё╡ф┼г─╠",2,"╬ч▓═","2014-12-30"
"75",85,"┼г╚т╗т▒¤",2,"═э▓═","2014-12-29"
"76",86,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2014-12-26"
"77",87,"║г┤°╜сЁ╞Ё╚╡░╔╒╚т",2,"╬ч▓═","2014-12-25"
"78",88,"╔░╣°ь└▓╦ги╠╫гй",2,"╬ч▓═","2014-12-25"
"79",89,"▓ц╔╒╚т│┤╖╣",2,"═э▓═","2014-12-24"
"80",90,"┬╠╢╣╨б├╫╓р",2,"═э▓═","2014-12-23"
"81",91,"┼г╚т╗т▒¤",2,"╬ч▓═","2014-12-19"
"82",92,"║║▒д",2,"═э▓═","2014-12-18"
"83",93,"╗╞ь╦╝ж├ц",2,"╬ч▓═","2014-12-18"
"84",94,"┼г╚т╗т▒¤",2,"╬ч▓═","2014-12-17"
"85",95,"╚т╧у╚╚╕╔├ц",2,"═э▓═","2014-12-16"
"86",96,"╗╞╜┤├ц",2,"╬ч▓═","2014-12-16"
"87",97,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2014-12-12"
"88",98,"║║▒д",2,"═э▓═","2014-12-11"
"89",99,"╚т┤о",2,"═э▓═","2014-12-11"
"90",100,"╚т╧у╚╚╕╔├ц",2,"═э▓═","2014-12-09"
"91",101,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2014-12-09"
"92",102,"╣■└╫╡░╕т",2,"═э▓═","2014-12-05"
"93",103,"▓ц╔╒╚т│┤╖╣",2,"╬ч▓═","2014-12-05"
"94",104,"║┌├╫╓р",2,"═э▓═","2014-12-02"
"95",105,"─╧╣╧╨б├╫╓р",2,"╬ч▓═","2014-12-02"
"96",106,"╗╞ь╦╝ж├ц",2,"╬ч▓═","2014-12-01"
"97",107,"┼г╚т╦╔╡░╕т",2,"╘ч▓═","2014-11-26"
"98",108,"т∙▒ж",2,"╬ч▓═","2014-11-21"
"99",109,"╗╞ь╦╝ж├ц",2,"╬ч▓═","2014-11-21"
"100",110,"║║▒д",2,"═э▓═","2014-11-17"
"101",111,"║┌├╫╓р",2,"═э▓═","2014-11-17"
"102",112,"╗╞ь╦╝ж├ц",2,"╬ч▓═","2014-11-17"
"103",113,"╚╚╥√",2,"═э▓═","2014-11-11"
"104",114,"╗Ё═╚╛э",2,"═э▓═","2014-11-10"
"105",115,"┬╠╢╣╨б├╫╓р",2,"═э▓═","2014-11-10"
"106",116,"╚т╜┤├ц",2,"╬ч▓═","2014-11-10"
"107",117,"╒и╜┤├ц",2,"╬ч▓═","2014-11-06"
"108",118,"║║▒д",2,"═э▓═","2014-11-03"
"109",119,"║║▒д",2,"═э▓═","2014-10-29"
"110",120,"╧у╣╜╚т╦┐├ц",2,"╬ч▓═","2014-10-29"
"111",121,"║║▒д",2,"╘ч▓═","2014-10-28"
"112",122,"╖╜▒у├ц(┤о)",2,"╬ч▓═","2014-10-24"
