"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",4,"就餐类型",NA
"3",13,"麻辣豆腐(套)",2,"午餐","2015-06-27"
"4",14,"宫保鸡丁(套)",2,"午餐","2015-06-27"
"5",15,"大米",2,"午餐","2015-06-27"
"6",16,"红烧土豆片(套)",2,"午餐","2015-06-26"
"7",17,"糖醋里脊(套)",2,"午餐","2015-06-26"
"8",18,"大米",2,"午餐","2015-06-26"
"9",19,"大米",2,"午餐","2015-06-25"
"10",20,"土豆丝(套)",2,"午餐","2015-06-25"
"11",21,"宫保鸡丁(套)",2,"午餐","2015-06-25"
"12",22,"土豆丝(套)",2,"晚餐","2015-06-23"
"13",23,"糖醋里脊(套)",2,"晚餐","2015-06-23"
"14",24,"大米",2,"晚餐","2015-06-23"
"15",25,"土豆丝(套)",2,"晚餐","2015-06-18"
"16",26,"宫保鸡丁(套)",2,"晚餐","2015-06-18"
"17",27,"大米",2,"晚餐","2015-06-18"
"18",28,"卤鸡蛋",2,"午餐","2015-06-18"
"19",29,"毛血旺面",2,"午餐","2015-06-18"
"20",30,"辣子鸡块(套)",2,"晚餐","2015-06-17"
"21",31,"红烧土豆片(套)",2,"晚餐","2015-06-17"
"22",32,"大米",2,"晚餐","2015-06-17"
"23",33,"辣子鸡块(套)",2,"晚餐","2015-06-16"
"24",34,"土豆丝(套)",2,"晚餐","2015-06-16"
"25",35,"大米",2,"晚餐","2015-06-16"
"26",36,"辣子鸡块(套)",2,"晚餐","2015-06-12"
"27",37,"红烧土豆片(套)",2,"晚餐","2015-06-12"
"28",38,"大米",2,"晚餐","2015-06-12"
"29",39,"肉臊子面",2,"午餐","2015-06-12"
"30",40,"香菇油菜(套)",2,"晚餐","2015-06-11"
"31",41,"宫保鸡丁(套)",2,"晚餐","2015-06-11"
"32",42,"大米",2,"晚餐","2015-06-11"
"33",43,"大米",2,"晚餐","2015-06-11"
"34",44,"大米(小)",2,"晚餐","2015-06-11"
"35",45,"鱼香肉丝(套)",2,"晚餐","2015-06-11"
"36",46,"土豆丝(套)",2,"晚餐","2015-06-11"
"37",47,"大米(小)",2,"午餐","2015-06-11"
"38",48,"大米(小)",2,"午餐","2015-06-11"
"39",49,"大米",2,"午餐","2015-06-11"
"40",50,"麻辣豆腐(套)",2,"午餐","2015-06-11"
"41",51,"宫保鸡丁(套)",2,"午餐","2015-06-11"
"42",52,"大米",2,"午餐","2015-06-11"
"43",53,"大米",2,"午餐","2015-06-11"
"44",54,"土豆丝(套)",2,"午餐","2015-06-11"
"45",55,"宫保鸡丁(套)",2,"午餐","2015-06-11"
"46",56,"太钢汽水",2,"晚餐","2015-06-09"
"47",57,"卤鸡蛋",2,"晚餐","2015-06-09"
"48",58,"毛血旺面",2,"晚餐","2015-06-09"
"49",59,"鱼香肉丝(套)",2,"晚餐","2015-06-09"
"50",60,"土豆鸡块(套)",2,"晚餐","2015-06-09"
"51",61,"大米",2,"晚餐","2015-06-09"
"52",62,"香辣鸡块饭",2,"午餐","2015-06-09"
"53",63,"土豆丝(套)",2,"午餐","2015-06-09"
"54",64,"土豆鸡块(套)",2,"午餐","2015-06-09"
"55",65,"大米",2,"午餐","2015-06-09"
"56",66,"大米",2,"晚餐","2015-06-02"
"57",67,"土豆丝(套)",2,"晚餐","2015-06-02"
"58",68,"宫保鸡丁(套)",2,"晚餐","2015-06-02"
"59",69,"红烧牛肉面",2,"午餐","2015-05-13"
"60",70,"牛肉松蛋糕",2,"早餐","2015-05-13"
"61",71,"香菇油菜(套)",2,"晚餐","2015-05-12"
"62",72,"宫保鸡丁(套)",2,"晚餐","2015-05-12"
"63",73,"香菇肉片(套)",2,"午餐","2015-05-12"
"64",74,"土豆丝(套)",2,"午餐","2015-05-12"
"65",75,"大米",2,"午餐","2015-05-12"
"66",76,"绿豆小米粥",2,"晚餐","2015-05-11"
"67",77,"夹土豆条肉丝饼",2,"晚餐","2015-05-11"
"68",78,"优酸乳(盒)",2,"早餐","2015-04-30"
"69",79,"菠萝鸡丁",2,"晚餐","2015-04-29"
"70",80,"豆角土豆条(套)",2,"晚餐","2015-04-29"
"71",81,"豆角土豆条(套)",2,"午餐","2015-04-29"
"72",82,"大米",2,"午餐","2015-04-29"
"73",83,"大米(小)",2,"午餐","2015-04-29"
"74",84,"豆花肉片(套)",2,"午餐","2015-04-29"
"75",85,"南瓜小米粥",2,"早餐","2015-04-29"
"76",86,"夹火腿饼",2,"早餐","2015-04-29"
"77",87,"大米(小)",2,"晚餐","2015-04-28"
"78",88,"香菇油菜(套)",2,"晚餐","2015-04-28"
"79",89,"宫保鸡丁(套)",2,"晚餐","2015-04-28"
"80",90,"土豆丝(套)",2,"午餐","2015-04-28"
"81",91,"宫保鸡丁(套)",2,"午餐","2015-04-28"
"82",92,"大米",2,"午餐","2015-04-28"
"83",93,"南瓜小米粥",2,"早餐","2015-04-28"
"84",94,"白糖饼",2,"早餐","2015-04-28"
"85",95,"肉包子",2,"早餐","2015-04-28"
"86",96,"冷饮",2,"晚餐","2015-04-27"
"87",97,"叉烧肉炒饭",2,"晚餐","2015-04-27"
"88",98,"优酸乳(盒)",2,"早餐","2015-04-16"
"89",99,"葡萄干蛋糕",2,"早餐","2015-04-16"
"90",100,"粉丝菠菜（套）",2,"晚餐","2015-04-15"
"91",101,"土豆条炒虾(套)",2,"晚餐","2015-04-15"
"92",102,"叉烧肉炒饭",2,"午餐","2015-04-15"
"93",103,"优酸乳(盒)",2,"早餐","2015-04-15"
"94",104,"葡萄干蛋糕",2,"早餐","2015-04-15"
"95",105,"优酸乳(袋)",2,"晚餐","2015-04-14"
"96",106,"叉烧肉炒饭",2,"晚餐","2015-04-14"
"97",107,"土豆丝(套)",2,"午餐","2015-04-14"
"98",108,"宫保鸡丁(套)",2,"午餐","2015-04-14"
"99",109,"大米",2,"午餐","2015-04-14"
"100",110,"优酸乳(盒)",2,"早餐","2015-04-14"
"101",111,"葡萄干蛋糕",2,"早餐","2015-04-14"
"102",112,"夹土豆条肉丝饼",2,"晚餐","2015-04-13"
"103",113,"南瓜小米粥",2,"晚餐","2015-04-13"
"104",114,"学生奶",2,"晚餐","2015-04-07"
"105",115,"卤鸡蛋",2,"晚餐","2015-04-07"
"106",116,"毛血旺面",2,"晚餐","2015-04-07"
"107",117,"叉烧肉炒饭",2,"午餐","2015-04-07"
"108",118,"学生奶",2,"早餐","2015-04-07"
"109",119,"叉烧肉炒饭",2,"晚餐","2015-04-03"
"110",120,"叉烧肉炒饭",2,"午餐","2015-04-03"
"111",121,"学生奶",2,"早餐","2015-04-03"
"112",122,"牛肉松蛋糕",2,"早餐","2015-04-03"
"113",123,"宫保鸡丁(套)",2,"晚餐","2015-04-02"
"114",124,"大米",2,"晚餐","2015-04-02"
"115",125,"大米(小)",2,"午餐","2015-04-02"
"116",126,"香菇油菜(套)",2,"午餐","2015-04-02"
"117",127,"宫保鸡丁(套)",2,"午餐","2015-04-02"
"118",128,"学生奶",2,"早餐","2015-04-02"
"119",129,"火腿排包",2,"早餐","2015-04-02"
"120",130,"学生奶",2,"早餐","2015-04-01"
"121",131,"火腿排包",2,"早餐","2015-04-01"
"122",132,"学生奶",2,"晚餐","2015-03-31"
"123",133,"叉烧肉炒饭",2,"晚餐","2015-03-31"
"124",134,"红烧牛肉面",2,"午餐","2015-03-31"
"125",135,"学生奶",2,"早餐","2015-03-31"
"126",136,"葡萄干蛋糕",2,"早餐","2015-03-31"
"127",137,"学生奶",2,"晚餐","2015-03-30"
"128",138,"叉烧肉炒饭",2,"晚餐","2015-03-30"
"129",139,"大米(小)",2,"午餐","2015-03-24"
"130",140,"大米",2,"午餐","2015-03-24"
"131",141,"宫保鸡丁(套)",2,"午餐","2015-03-24"
"132",142,"大米",2,"午餐","2015-03-24"
"133",143,"土豆丝(套)",2,"午餐","2015-03-24"
"134",144,"学生奶",2,"早餐","2015-03-23"
"135",145,"葡萄干蛋糕",2,"早餐","2015-03-23"
"136",146,"叉烧肉炒饭",2,"晚餐","2015-03-20"
"137",147,"红烧牛肉面",2,"午餐","2015-03-20"
"138",148,"学生奶",2,"早餐","2015-03-20"
"139",149,"葡萄干蛋糕",2,"早餐","2015-03-20"
"140",150,"土豆丝(套)",2,"晚餐","2015-03-19"
"141",151,"宫保鸡丁(套)",2,"晚餐","2015-03-19"
"142",152,"大米",2,"晚餐","2015-03-19"
"143",153,"学生奶",2,"早餐","2015-03-19"
"144",154,"葡萄干蛋糕",2,"早餐","2015-03-19"
"145",155,"南瓜小米粥",2,"晚餐","2015-03-17"
"146",156,"夹土豆条肉丝饼",2,"晚餐","2015-03-17"
"147",157,"西芹香干(套)",2,"午餐","2015-03-17"
"148",158,"宫保鸡丁(套)",2,"午餐","2015-03-17"
"149",159,"大米",2,"午餐","2015-03-17"
"150",160,"辣子鸡块(套)",2,"午餐","2015-03-17"
"151",161,"宫保鸡丁(套)",2,"午餐","2015-03-17"
"152",162,"大米",2,"午餐","2015-03-17"
"153",163,"金典牛奶",2,"早餐","2015-03-17"
"154",164,"葡萄干蛋糕",2,"早餐","2015-03-17"
"155",165,"夹土豆条肉丝饼",2,"晚餐","2015-03-16"
"156",166,"南瓜小米粥",2,"晚餐","2015-03-16"
