"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",4,"就餐类型",NA
"3",13,"巧克力蛋糕",2,"晚餐","2014-12-16"
"4",14,"炸大串",2,"晚餐","2014-12-02"
"5",15,"炸大串",2,"午餐","2014-11-14"
"6",16,"金典牛奶",2,"午餐","2014-10-29"
"7",17,"炸大串",3,"午餐","2014-10-29"
"8",18,"水饺",2,"午餐","2014-10-29"
"9",19,"炸酱面",2,"午餐","2014-10-29"
"10",20,"西红柿鸡蛋面",2,"午餐","2014-09-24"
"11",21,"红烧土豆鸡块面",2,"午餐","2014-09-22"
"12",22,"西红柿鸡蛋面",2,"午餐","2014-09-22"
"13",23,"炸大串",2,"午餐","2014-09-16"
"14",24,"炸酱面",2,"午餐","2014-09-16"
"15",25,"西红柿鸡蛋面",2,"午餐","2014-09-09"
"16",26,"黑米粥",2,"晚餐","2014-09-04"
"17",27,"夹肉饼",2,"晚餐","2014-09-04"
"18",28,"皮蛋瘦肉粥",2,"晚餐","2014-09-04"
"19",29,"南瓜小米粥",2,"晚餐","2014-09-04"
"20",30,"黑米粥",2,"晚餐","2014-09-04"
"21",31,"香菇鸡块面",2,"午餐","2014-09-04"
